algorithm,num_agents,num_items,distribution,min_value,sum_value,execution_time
Markakis&Psomas,10,500,normal,2360.0,36789.0,0.05039215087890625
RoundRobin,10,500,normal,2412.0,25269.0,0.0
Sequential,10,500,normal,99.0,1131.0,0.0029544830322265625
Markakis&Psomas,10,500,normal,2428.0,36391.0,0.04828786849975586
RoundRobin,10,500,normal,2297.0,24855.0,0.0008018016815185547
Sequential,10,500,normal,100.0,1104.0,0.0
Markakis&Psomas,10,500,exponential,1313.0,31917.0,0.05759739875793457
RoundRobin,10,500,exponential,1156.0,13478.0,0.002655506134033203
Sequential,10,500,exponential,157.0,1993.0,0.0
Markakis&Psomas,10,500,exponential,1373.0,32731.0,0.041410207748413086
RoundRobin,10,500,exponential,1341.0,15265.0,0.0
Sequential,10,500,exponential,148.0,1999.0,0.004857540130615234
Markakis&Psomas,10,500,exponential,1253.0,30258.0,0.04224109649658203
RoundRobin,10,500,exponential,1152.0,14371.0,0.0
Sequential,10,500,exponential,130.0,1891.0,0.0043141841888427734
Markakis&Psomas,10,500,exponential,1179.0,31351.0,0.04204058647155762
RoundRobin,10,500,exponential,1198.0,14244.0,0.0
Sequential,10,500,exponential,172.0,2046.0,0.004364490509033203
Markakis&Psomas,10,500,exponential,1187.0,31466.0,0.04583263397216797
RoundRobin,10,500,exponential,1258.0,14330.0,0.0008294582366943359
Sequential,10,500,exponential,153.0,2004.0,0.0
Markakis&Psomas,10,1000,uniform,4756.0,79701.0,0.07315874099731445
RoundRobin,10,1000,uniform,4618.0,50220.0,0.0004513263702392578
Sequential,10,1000,uniform,99.0,990.0,0.002335786819458008
Markakis&Psomas,10,1000,uniform,4813.0,79793.0,0.0742948055267334
RoundRobin,10,1000,uniform,4686.0,50118.0,0.0
Sequential,10,1000,uniform,99.0,990.0,0.006946086883544922
Markakis&Psomas,10,1000,uniform,4772.0,79779.0,0.07503032684326172
RoundRobin,10,1000,uniform,4443.0,49434.0,0.0
Sequential,10,1000,uniform,99.0,990.0,0.006118297576904297
Markakis&Psomas,10,1000,uniform,4872.0,81289.0,0.07054305076599121
RoundRobin,10,1000,uniform,4423.0,49663.0,0.0
Sequential,10,1000,uniform,99.0,990.0,0.010782241821289062
Markakis&Psomas,10,1000,uniform,4834.0,79551.0,0.07657051086425781
RoundRobin,10,1000,uniform,4817.0,50139.0,0.0
Sequential,10,1000,uniform,99.0,990.0,0.00511932373046875
Markakis&Psomas,10,1000,normal,4973.0,72893.0,0.15517616271972656
RoundRobin,10,1000,normal,4763.0,49763.0,0.0
Sequential,10,1000,normal,106.0,1211.0,0.005990505218505859
Markakis&Psomas,10,1000,normal,4956.0,73965.0,0.06454706192016602
RoundRobin,10,1000,normal,4420.0,48467.0,0.0
Sequential,10,1000,normal,104.0,1173.0,0.0
Markakis&Psomas,10,1000,normal,4782.0,73578.0,0.08197641372680664
RoundRobin,10,1000,normal,4576.0,49245.0,0.0
Sequential,10,1000,normal,106.0,1133.0,0.0
Markakis&Psomas,10,1000,normal,4899.0,73209.0,0.07242131233215332
RoundRobin,10,1000,normal,4668.0,49902.0,0.0
Sequential,10,1000,normal,111.0,1168.0,0.0
Markakis&Psomas,10,1000,normal,4809.0,72521.0,0.08199334144592285
RoundRobin,10,1000,normal,4821.0,50738.0,0.001590728759765625
Sequential,10,1000,normal,109.0,1167.0,0.003256559371948242
Markakis&Psomas,10,1000,exponential,2933.0,63267.0,0.10385322570800781
RoundRobin,10,1000,exponential,2905.0,30674.0,0.0
Sequential,10,1000,exponential,182.0,2285.0,0.006664752960205078
Markakis&Psomas,10,1000,exponential,2854.0,63731.0,0.09758758544921875
RoundRobin,10,1000,exponential,2609.0,28061.0,0.0
Sequential,10,1000,exponential,182.0,2101.0,0.007288694381713867
Markakis&Psomas,10,1000,exponential,2855.0,64083.0,0.09874749183654785
RoundRobin,10,1000,exponential,2608.0,31031.0,0.0
Sequential,10,1000,exponential,175.0,2156.0,0.01085519790649414
Markakis&Psomas,10,1000,exponential,2857.0,63256.0,0.09415841102600098
RoundRobin,10,1000,exponential,2765.0,29997.0,0.0
Sequential,10,1000,exponential,168.0,2236.0,0.0013616085052490234
Markakis&Psomas,10,1000,exponential,2776.0,62914.0,0.10189104080200195
RoundRobin,10,1000,exponential,1970.0,28923.0,0.0
Sequential,10,1000,exponential,172.0,2225.0,0.0
Markakis&Psomas,20,100,uniform,190.0,8257.0,0.08571863174438477
RoundRobin,20,100,uniform,144.0,4809.0,0.0
Sequential,20,100,uniform,96.0,1969.0,0.0
Markakis&Psomas,20,100,uniform,194.0,8420.0,0.08231759071350098
RoundRobin,20,100,uniform,117.0,5154.0,0.0
Sequential,20,100,uniform,97.0,1970.0,0.0020132064819335938
Markakis&Psomas,20,100,uniform,193.0,8312.0,0.06579899787902832
RoundRobin,20,100,uniform,120.0,4813.0,0.0
Sequential,20,100,uniform,97.0,1975.0,0.0
Markakis&Psomas,20,100,uniform,194.0,8555.0,0.06137537956237793
RoundRobin,20,100,uniform,103.0,4613.0,0.0
Sequential,20,100,uniform,96.0,1968.0,0.0
Markakis&Psomas,20,100,uniform,195.0,8485.0,0.06280899047851562
RoundRobin,20,100,uniform,121.0,4725.0,0.0
Sequential,20,100,uniform,94.0,1963.0,0.0
Markakis&Psomas,20,100,normal,186.0,7877.0,0.06598854064941406
RoundRobin,20,100,normal,168.0,5141.0,0.0
