num_of_players,num_of_gifts,value_noise_ratio,algorithm,random_seed,total_value,min_value,s1,s2,s3,s4,runtime
8,9,0.0,round_robin,1,1076,101,['c1'],['c6'],['c2'],['c4'],0.0006788999307900667
8,9,0.0,round_robin,2,1032,77,['c5'],['c7'],['c3'],['c8'],0.0006820999551564455
8,9,0.0,round_robin,3,1120,79,['c6'],['c7'],['c3'],['c2'],0.0007218000246211886
8,9,0.0,round_robin,4,1082,86,['c4'],['c3'],['c9'],['c8'],0.0007242000428959727
8,10,0.0,santa_claus_main,0,979,75,['c1'],['c5'],['c2'],['c4'],55.46973989997059
8,10,0.0,round_robin,0,979,75,['c1'],['c5'],['c2'],['c4'],0.0006176000460982323
8,10,0.0,round_robin,1,1008,101,['c5'],['c9'],['c6'],['c2'],0.0006126998923718929
8,10,0.0,round_robin,2,922,70,['c7'],['c5'],['c8'],['c1'],0.0006280000088736415
8,10,0.0,round_robin,3,1106,84,['c3'],['c7'],['c2'],['c6'],0.0006265999982133508
8,10,0.0,round_robin,4,1065,86,['c3'],['c9'],['c4'],['c8'],0.0006211000727489591
8,11,0.0,round_robin,0,995,86,['c1'],['c11'],['c5'],['c4'],0.0006090999813750386
8,11,0.0,round_robin,1,1004,85,['c5'],['c2'],['c10'],['c9'],0.0006951999384909868
8,11,0.0,round_robin,2,996,80,['c8'],['c7'],['c5'],['c1'],0.000658900011330843
8,11,0.0,round_robin,3,976,75,['c6'],['c3'],['c2'],['c7'],0.0006391999777406454
8,11,0.0,round_robin,4,931,56,['c4'],['c8'],['c3'],['c9'],0.000635799951851368
8,12,0.0,round_robin,0,873,61,['c11'],['c12'],['c5'],['c2'],0.0006309999153017998
8,12,0.0,round_robin,1,891,76,['c5'],['c6'],['c2'],['c1'],0.0006458999123424292
8,12,0.0,round_robin,2,975,79,['c7'],['c8'],['c5'],['c12'],0.000658300006762147
8,12,0.0,round_robin,3,963,59,['c3'],['c1'],['c2'],['c7'],0.0006399000994861126
8,12,0.0,round_robin,4,1025,74,['c9'],['c8'],['c4'],['c3'],0.0010119000216946006
8,13,0.0,round_robin,0,852,63,['c5'],['c12'],['c11'],['c4'],0.0006511000683531165
8,13,0.0,round_robin,1,872,88,['c2'],['c9'],['c1'],['c4'],0.0006471999222412705
8,13,0.0,round_robin,2,1000,89,['c7'],['c12'],['c8'],['c13'],0.0006577000021934509
8,13,0.0,round_robin,3,893,63,['c2'],['c1'],['c7'],['c3'],0.0007603999692946672
8,13,0.0,round_robin,4,985,74,['c8'],['c3'],['c9'],['c4'],0.0007192000048235059
8,14,0.0,round_robin,0,783,76,['c5'],['c11'],['c12'],['c4'],0.0007794999983161688
8,14,0.0,round_robin,1,859,93,['c2'],['c1'],['c6'],['c10'],0.001218699966557324
8,14,0.0,round_robin,2,867,64,['c5'],['c13'],['c7'],['c8'],0.0008328999392688274
8,14,0.0,round_robin,3,860,82,['c3'],['c2'],['c13'],['c1'],0.0008436000207439065
8,14,0.0,round_robin,4,849,67,['c8'],['c3'],['c9'],['c4'],0.0008859999943524599
8,15,0.0,round_robin,0,829,70,['c11'],['c5'],['c12'],['c4'],0.0011750999838113785
8,15,0.0,round_robin,1,790,78,['c1'],['c5'],['c2'],['c6'],0.0007602999685332179
