input_range,equal_capacities,equal_valuations,binary_valuations,num_of_items,category_count,item_capacity_bounds,random_seed_num,num_of_agents,algorithm,current_algorithm_bundle_min_value,current_algorithm_bundle_sum,runtime
input_ranges_algorithm_1,True,True,True,1,76,1,0,1,per_category_round_robin,1.0,1.0,0.0028940369957126
input_ranges_algorithm_1,True,True,True,1,76,1,0,1,per_category_round_robin_optimized,1.0,1.0,0.0037086789961904
input_ranges_algorithm_1,True,True,True,1,76,1,0,1,egalitarian_algorithm,1.0,1.0,0.0069776070013176
input_ranges_algorithm_1,True,True,True,1,76,1,0,1,utilitarian_algorithm,1.0,1.0,0.0012425770109985
input_ranges_algorithm_1,True,True,True,1,76,1,0,1,iterated_maximum_matching,1.0,1.0,0.001081049995264
input_ranges_algorithm_1,True,True,True,1,76,1,0,16,per_category_round_robin,0.0,0.0,2.0751412819954567
input_ranges_algorithm_1,True,True,True,1,76,1,0,16,per_category_round_robin_optimized,0.0,0.0,1.9854551719909068
input_ranges_algorithm_1,True,True,True,1,76,1,0,16,egalitarian_algorithm,0.0,0.0,0.0300472879898734
input_ranges_algorithm_1,True,True,True,1,76,1,0,16,utilitarian_algorithm,0.0,0.0,0.001996400009375
input_ranges_algorithm_1,True,True,True,1,76,1,0,16,iterated_maximum_matching,0.0,0.0,0.0021190890111029
input_ranges_algorithm_1,True,True,True,1,76,1,0,31,per_category_round_robin,0.0,0.0,7.635132955008885
input_ranges_algorithm_1,True,True,True,1,76,1,0,31,per_category_round_robin_optimized,0.0,0.0,7.950770536990603
input_ranges_algorithm_1,True,True,True,1,76,1,0,31,egalitarian_algorithm,0.0,0.0,0.0536155519948806
input_ranges_algorithm_1,True,True,True,1,76,1,0,31,utilitarian_algorithm,0.0,0.0,0.0043221160012762
input_ranges_algorithm_1,True,True,True,1,76,1,0,31,iterated_maximum_matching,0.0,0.0,0.0044379020109772
input_ranges_algorithm_1,True,True,True,1,76,1,0,46,egalitarian_algorithm,0.0,0.0,0.1308079409936908
input_ranges_algorithm_1,True,True,True,1,76,1,0,46,utilitarian_algorithm,0.0,0.0,0.0042073910008184
input_ranges_algorithm_1,True,True,True,1,76,1,0,46,iterated_maximum_matching,0.0,0.0,0.0041202290158253
input_ranges_algorithm_1,True,True,True,1,76,1,0,61,egalitarian_algorithm,0.0163934426229508,1.0000000000000009,0.1164784650027286
input_ranges_algorithm_1,True,True,True,1,76,1,0,61,utilitarian_algorithm,0.0,1.0,0.0048336930049117
input_ranges_algorithm_1,True,True,True,1,76,1,0,61,iterated_maximum_matching,0.0,1.0,0.0049524740024935
