num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
200,25,0.2,iterated_maximum_matching_adjusted,0,,59.34616479,45.28301887,13.24200913,2.336695045,1,1.0,165,197,200,0.8540291
200,25,0.2,iterated_maximum_matching_adjusted,1,,68.00382632,56.01851852,12.60273973,1.424961435,1,1.0,186,200,200,1.0098851
200,25,0.2,iterated_maximum_matching_adjusted,2,,60.03845625,47.13656388,13.68909513,1.988072923,1,1.0,184,199,200,0.9892069
200,25,0.2,iterated_maximum_matching_adjusted,3,,59.51468779,50.32119914,10.67285383,1.98403291,1,1.0,200,200,200,1.3313627
200,25,0.2,iterated_maximum_matching_adjusted,4,,52.51758019,40.32549729,14.88933602,3.347457567,1,1.0,164,194,200,0.9977206
200,25,0.2,TTC_function,0,,58.91095751,43.82978723,15.23178808,2.997712087,1,1.0,164,194,200,0.1399547
200,25,0.2,TTC_function,1,,67.62078105,53.47222222,11.75,1.863542569,1,1.0,186,200,200,0.1361172
200,25,0.2,TTC_function,2,,59.59414447,44.74226804,14.15313225,2.950999679,1,1.0,184,199,200,0.1174764
200,25,0.2,TTC_function,3,,59.11315531,45.53191489,13.10344828,2.843675088,1,1.0,198,199,200,0.1754141
200,25,0.2,TTC_function,4,,51.96714677,38.7283237,15.06024096,3.819531166,1,1.0,173,189,199,0.1195649
200,25,0.2,SP_function,0,,57.19951067,46.36752137,11.70960187,2.939436604,1,1.0,164,194,200,0.1238756
200,25,0.2,SP_function,1,,66.00197796,55.42986425,11.60220994,1.31398514,1,1.0,186,200,200,0.1282312
200,25,0.2,SP_function,2,,57.72108355,45.43478261,11.23348018,2.575508488,1,1.0,184,199,200,0.1525742
200,25,0.2,SP_function,3,,57.59613316,45.07337526,13.125,2.441642137,1,1.0,198,199,200,0.1414891
200,25,0.2,SP_function,4,,50.30279183,40.47186933,11.44708423,2.533061213,1,1.0,173,189,199,0.1546094
200,25,0.5,iterated_maximum_matching_unadjusted,0,,61.54869903,48.98785425,13.75545852,1.867678514,1,1.0,177,198,200,0.9501899
200,25,0.5,iterated_maximum_matching_unadjusted,1,,69.99208011,55.2742616,13.5021097,1.050142072,1,1.0,191,200,200,1.1671435
200,25,0.5,iterated_maximum_matching_unadjusted,2,,62.85090106,49.28057554,17.65873016,1.416299295,1,1.0,190,199,200,0.9574733
200,25,0.5,iterated_maximum_matching_unadjusted,3,,61.55724746,50.71283096,11.4967462,1.590251319,1,1.0,200,200,200,0.8942489
200,25,0.5,iterated_maximum_matching_unadjusted,4,,55.36546808,40.53156146,18.39708561,2.919316072,1,1.0,178,200,200,0.9722643
200,25,0.5,iterated_maximum_matching_adjusted,0,,61.54869903,48.98785425,13.75545852,1.867678514,1,1.0,177,198,200,0.8910379
200,25,0.5,iterated_maximum_matching_adjusted,1,,69.99208011,55.2742616,13.5021097,1.050142072,1,1.0,191,200,200,0.8119928
200,25,0.5,iterated_maximum_matching_adjusted,2,,62.85090106,49.28057554,17.65873016,1.416299295,1,1.0,190,199,200,1.0313065
200,25,0.5,iterated_maximum_matching_adjusted,3,,61.55724746,50.71283096,11.4967462,1.590251319,1,1.0,200,200,200,0.988087
200,25,0.5,iterated_maximum_matching_adjusted,4,,55.36546808,40.53156146,18.39708561,2.919316072,1,1.0,178,200,200,1.0120518
200,25,0.5,TTC_function,0,,61.12676202,44.30894309,14.93775934,2.921732096,1,1.0,177,197,200,0.1226835
200,25,0.5,TTC_function,1,,69.41252623,53.4562212,16.70951157,1.968252405,1,1.0,191,200,200,0.1291589
200,25,0.5,TTC_function,2,,62.29208047,45.84178499,15.48672566,2.577138444,1,1.0,191,199,200,0.1227444
200,25,0.5,TTC_function,3,,60.99107152,45.38606403,10.94091904,2.233111334,1,1.0,200,200,200,0.171466
200,25,0.5,TTC_function,4,,54.95891042,38.94080997,15.80756014,4.084812449,1,1.0,185,195,200,0.1674234
200,25,0.5,SP_function,0,,59.46905429,44.71544715,11.94968553,2.103389821,1,1.0,177,197,200,0.1888164
200,25,0.5,SP_function,1,,67.85702857,54.52674897,10.11904762,1.071848081,1,1.0,191,200,200,0.1561149
200,25,0.5,SP_function,2,,60.4101343,48.33333333,12.83185841,1.939582396,1,1.0,191,199,200,0.1335943
200,25,0.5,SP_function,3,,59.43579696,47.76119403,9.638554217,1.845433028,1,1.0,200,200,200,0.170899
200,25,0.5,SP_function,4,,52.84606314,39.87538941,12.47401247,2.542876226,1,1.0,185,195,200,0.1630505
200,25,0.8,iterated_maximum_matching_unadjusted,0,,63.22944365,50.18181818,13.34702259,1.629794926,1,1.0,182,200,200,1.2548831
200,25,0.8,iterated_maximum_matching_unadjusted,1,,71.50378536,56.17760618,13.67346939,0.821869914,1,1.0,193,200,200,1.7057249
200,25,0.8,iterated_maximum_matching_unadjusted,2,,64.757919,47.06896552,17.84452297,1.105400434,1,1.0,195,200,200,1.2420699
200,25,0.8,iterated_maximum_matching_unadjusted,3,,63.14453532,51.68738899,9.625668449,1.230680636,1,1.0,200,200,200,1.3470953
200,25,0.8,iterated_maximum_matching_unadjusted,4,,57.47702122,41.78628389,13.86623165,2.629186415,1,1.0,189,200,200,0.915254
200,25,0.8,iterated_maximum_matching_adjusted,0,,63.22944365,50.18181818,13.34702259,1.629794926,1,1.0,182,200,200,0.923447
200,25,0.8,iterated_maximum_matching_adjusted,1,,71.50378536,56.17760618,13.67346939,0.821869914,1,1.0,193,200,200,0.9455199
200,25,0.8,iterated_maximum_matching_adjusted,2,,64.757919,47.06896552,17.84452297,1.105400434,1,1.0,195,200,200,0.7958733
200,25,0.8,iterated_maximum_matching_adjusted,3,,63.14453532,51.68738899,9.625668449,1.230680636,1,1.0,200,200,200,0.9189776
200,25,0.8,iterated_maximum_matching_adjusted,4,,57.47702122,41.78628389,13.86623165,2.629186415,1,1.0,189,200,200,0.9345033
200,25,0.8,TTC_function,0,,62.80302908,45.26112186,16.63201663,2.705313798,1,1.0,182,200,200,0.0993675
200,25,0.8,TTC_function,1,,71.08594201,53.86138614,21.86732187,1.688554846,1,1.0,193,200,200,0.1014273
200,25,0.8,TTC_function,2,,64.30795866,44.5407279,15.05376344,2.281600592,1,1.0,195,200,200,0.1616209
200,25,0.8,TTC_function,3,,62.61237326,45.97902098,14.17624521,2.318696384,1,1.0,200,200,200,0.1831841
200,25,0.8,TTC_function,4,,56.93995461,39.33236575,14.48692153,3.559851024,1,1.0,191,198,200,0.2622207
200,25,0.8,SP_function,0,,60.81726293,49.1902834,12.12121212,1.962031632,1,1.0,182,200,200,0.2008931
200,25,0.8,SP_function,1,,69.31617987,53.59848485,13.0260521,0.959585739,1,1.0,193,200,200,0.2113115
200,25,0.8,SP_function,2,,62.57871128,41.62348877,15.72438163,1.912799525,1,1.0,195,200,200,0.1572007
200,25,0.8,SP_function,3,,61.02305419,50.42918455,11.62790698,1.747510291,1,1.0,200,200,200,0.1832753
200,25,0.8,SP_function,4,,54.81198857,39.12363067,12.64822134,2.385610295,1,1.0,191,198,200,0.110202
200,25,1.0,iterated_maximum_matching_unadjusted,0,,64.09454137,50.61082024,14.79289941,1.529072621,1,1.0,192,200,200,0.8869556
200,25,1.0,iterated_maximum_matching_unadjusted,1,,72.36116851,56.67276051,13.71115174,0.744460521,1,1.0,197,200,200,0.863871
200,25,1.0,iterated_maximum_matching_unadjusted,2,,65.86651503,46.95222405,11.95876289,0.85392688,1,1.0,195,200,200,0.838576
200,25,1.0,iterated_maximum_matching_unadjusted,3,,64.05442721,51.67785235,17.48366013,1.23299044,1,1.0,200,200,200,0.8524968
200,25,1.0,iterated_maximum_matching_unadjusted,4,,58.59322678,42.33128834,15.75456053,2.551403826,1,1.0,191,200,200,0.8263768
